objectid,parentid,title,proprietor,date_start,date_end,date_text,HoMER_venue,description,seats_number,address,location,latitude,longitude,source,format,display_template,description_file,filename,object_location,image_small,image_thumb
icp-0001,,"People's Popular Picture Palace, Queen's Theatre, Dublin",Colonial Picture Combine (W. S. Pearce),1908,,,Theatre,,,208-10 Gt Brunswick Street,Dublin,53.34501972,-6.254832812,,,cinema_site,icp-0001,,,/objects/small/queens_dublin_kelly-gang_performer_sm.jpg,/objects/thumbs/queens_dublin_kelly-gang_performer_th.jpg
icp-0001a,icp-0001,,,,,,,,,,,,,,image/jpeg,image,,queens_dublin_kelly-gang_performer.jpg,/objects/queens_dublin_kelly-gang_performer.jpg,/objects/small/queens_dublin_kelly-gang_performer_sm.jpg,/objects/thumbs/queens_dublin_kelly-gang_performer_th.jpg
icp-0002,,"Cinematograph Volta, Dublin",Consortium including James Joyce (Dec. 1909-Jun. 10); Provincial Cinematograph Theatres (1910-),1909,,,Cinema,,,45 Mary Street,Dublin,53.34899129,-6.265883102,,,cinema_site,icp-0002,,,/objects/small/volta-electric-theatre-dublin_sm.jpg,/objects/thumbs/volta-electric-theatre-dublin_th.jpg
icp-0002a,icp-0002,,,,,,,,,,,,,,image/png,image,,volta-electric-theatre-dublin.png,/objects/volta-electric-theatre-dublin.png,/objects/small/volta-electric-theatre-dublin_sm.jpg,/objects/thumbs/volta-electric-theatre-dublin_th.jpg
icp-0003,,"Picture House, Sackville Street, Dublin",Provincial Cinematograph Theatres (R. T. Jupp),1910,,,Picture_House,,,51 Lr Sackville/O'Connell Street,Dublin,53.3478232,-6.259795024,,,cinema_site,,,,/objects/small/sackville-ph_dublin_film-index_sm.jpg,/objects/thumbs/sackville-ph_dublin_film-index_th.jpg
icp-0003a,icp-0003,,,,,,,,,,,,,,image/jpeg,image,,sackville-ph_dublin_film-index.jpg,/objects/sackville-ph_dublin_film-index.jpg,/objects/small/sackville-ph_dublin_film-index_sm.jpg,/objects/thumbs/sackville-ph_dublin_film-index_th.jpg
icp-0004,,"Rotunda Round Room, Dublin",Irish Animated Picture Company (James T. Jameson),1912,,,Public_venue,,,165 Parnell Street,Dublin,53.35271089,-6.261890513,,,cinema_site,,,,/objects/small/rotundanewlivingpictures_web_sm.jpg,/objects/thumbs/rotundanewlivingpictures_web_th.jpg
icp-0004a,icp-0004,,,,,,,,,,,,,,image/jpeg,image,,rotundanewlivingpictures_web.jpg,/objects/rotundanewlivingpictures_web.jpg,/objects/small/rotundanewlivingpictures_web_sm.jpg,/objects/thumbs/rotundanewlivingpictures_web_th.jpg
icp-0005,,"Coliseum Picture House, Dublin",Maurice Elliman,1910,,,Picture_House,,,15-16 Redmond's Hill,Dublin,53.33810822,-6.266183314,,,cinema_site,,,,/objects/small/coliseum_dublin_king-edward-films_eh_4-jun-1910_sm.jpg,/objects/thumbs/coliseum_dublin_king-edward-films_eh_4-jun-1910_th.jpg
icp-0005a,icp-0005,,,,,,,,,,,,,,image/jpeg,image,,coliseum_dublin_king-edward-films_eh_4-jun-1910.jpg,/objects/coliseum_dublin_king-edward-films_eh_4-jun-1910.jpg,/objects/small/coliseum_dublin_king-edward-films_eh_4-jun-1910_sm.jpg,/objects/thumbs/coliseum_dublin_king-edward-films_eh_4-jun-1910_th.jpg
icp-0006,,"People's Picture Palace, Dublin","Dublin Picture Palace ( William J. Butler, A.P. Quinn, J. McLoughlin)",1911,,,Cinema,,,50 Thomas Street,Dublin,53.34267429,-6.278695203,,,cinema_site,,,,/objects/small/peoples-picture-palace_dublin_nelson-moran-fight_eh_11-may-1912_sm.jpg,/objects/thumbs/peoples-picture-palace_dublin_nelson-moran-fight_eh_11-may-1912_th.jpg
icp-0006a,icp-0006,,,,,,,,,,,,,,image/jpeg,image,,peoples-picture-palace_dublin_nelson-moran-fight_eh_11-may-1912.jpg,/objects/peoples-picture-palace_dublin_nelson-moran-fight_eh_11-may-1912.jpg,/objects/small/peoples-picture-palace_dublin_nelson-moran-fight_eh_11-may-1912_sm.jpg,/objects/thumbs/peoples-picture-palace_dublin_nelson-moran-fight_eh_11-may-1912_th.jpg
icp-0007,,"Picture House, Grafton Street, Dublin",Provincial Cinematograph Theatres (R. T. Jupp),1911,,,Picture_House,,,72 Grafton Street,Dublin,53.34134292,-6.26056174,,,cinema_site,,,,/objects/small/grafton_dublin_rte-stills_sm.jpg,/objects/thumbs/grafton_dublin_rte-stills_th.jpg
icp-0007a,icp-0007,,,,,,,,,,,,,,image/jpeg,image,,grafton_dublin_rte-stills.jpg,/objects/grafton_dublin_rte-stills.jpg,/objects/small/grafton_dublin_rte-stills_sm.jpg,/objects/thumbs/grafton_dublin_rte-stills_th.jpg
